# Zoyla Test Results
# Exported: 2025-12-22T19:51:52.795Z
# URL: https://httpbin.org/get
# Method: GET
# Total Requests: 500
# Successful: 234
# Failed: 266
# Total Time: 4.8183s
# Requests/sec: 103.77
# Avg Response: 981.65ms
# Min Response: 0.20ms
# Max Response: 4816.42ms

request_num,status,duration_ms,success,timestamp_ms,error
133,0,44.30,false,47.98,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976449484000_1263960827)"
134,0,43.13,false,48.01,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976450684000_1379769156)"
135,0,42.21,false,48.02,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976451609000_539670047)"
136,0,0.57,false,48.03,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976493258000_3659530427)"
137,0,0.64,false,48.03,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976493205000_870917715)"
138,0,46.47,false,48.04,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976447380000_3289841501)"
139,0,0.61,false,48.05,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976493239000_2160732972)"
140,0,43.11,false,48.05,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976450748000_973060898)"
141,0,42.18,false,48.07,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976451690000_4069438773)"
142,0,44.01,false,48.64,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976450433000_1877800607)"
143,0,44.22,false,48.82,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976450401000_1810900051)"
144,0,46.86,false,48.86,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976447801000_2408205810)"
145,0,45.48,false,48.86,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976449188000_3914788697)"
146,0,26.89,false,48.87,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976467790000_3584661231)"
147,0,26.94,false,48.88,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976467748000_3148958468)"
148,0,44.23,false,48.89,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976450463000_2691095895)"
149,0,26.88,false,48.89,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976467821000_753564861)"
150,0,26.90,false,48.90,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976467803000_3521206397)"
151,0,26.87,false,48.93,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976467865000_3982993298)"
152,0,44.48,false,49.17,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976450490000_4257518038)"
153,0,28.09,false,68.00,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976485712000_1179731788)"
154,0,31.12,false,71.95,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976486635000_4117348003)"
155,0,60.52,false,74.54,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976459818000_3620027004)"
156,0,65.56,false,74.55,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976454794000_4169495079)"
157,0,59.75,false,74.65,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976460701000_119850105)"
158,0,31.56,false,76.31,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976490557000_3330640657)"
159,0,69.08,false,76.33,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976453054000_31931346)"
160,0,69.03,false,76.33,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976453105000_2266665739)"
161,0,32.49,false,77.30,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976490616000_1844979694)"
162,0,32.34,false,77.44,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976490901000_2836261684)"
163,0,69.10,false,77.44,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976454150000_2686459188)"
164,0,32.48,false,77.45,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976490776000_3482959773)"
165,0,32.63,false,77.46,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976490635000_4232274177)"
166,0,32.67,false,77.55,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976490686000_3704353061)"
167,0,32.78,false,77.68,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976490701000_681004129)"
168,0,33.00,false,77.80,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976490605000_2433587817)"
169,0,32.77,false,77.85,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976490885000_3184237824)"
170,0,70.31,false,77.87,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976453363000_4109980752)"
171,0,69.86,false,77.88,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976453825000_690330995)"
172,0,70.72,false,77.88,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976452973000_2227365151)"
173,0,32.90,false,77.91,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976490821000_1239055771)"
174,0,69.60,false,77.97,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976454175000_4057538757)"
175,0,70.63,false,77.97,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976453154000_1970351281)"
176,0,32.73,false,78.37,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976491444000_768954886)"
177,0,32.77,false,78.38,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976491412000_3335231918)"
178,0,71.20,false,78.39,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976452997000_69478195)"
179,0,32.73,false,78.39,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976491465000_503625678)"
180,0,32.81,false,78.43,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976491423000_4066722821)"
181,0,32.88,false,78.47,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976491404000_1182760719)"
182,0,32.90,false,78.49,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976491394000_2973290702)"
183,0,32.87,false,78.50,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976491433000_484131561)"
184,0,72.20,false,78.57,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976452180000_3449139752)"
185,0,33.05,false,78.59,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976491339000_3083688214)"
186,0,71.62,false,78.76,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976452946000_2661406082)"
187,0,72.32,false,78.77,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976452250000_2888583860)"
188,0,71.88,false,78.77,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976452694000_909108570)"
189,0,72.54,false,78.78,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976452048000_2350699818)"
190,0,78.09,false,78.96,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976446684000_2269166475)"
191,0,78.26,false,79.00,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976446543000_791237742)"
192,0,32.89,false,79.03,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976491940000_757728794)"
193,0,32.93,false,79.08,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976491948000_3997529522)"
194,0,77.35,false,79.09,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976447545000_3990343705)"
195,0,32.66,false,79.10,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976492243000_3433133334)"
196,0,32.94,false,79.11,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976491975000_764188068)"
197,0,32.67,false,79.12,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976492255000_3190938053)"
198,0,72.31,false,79.13,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976452623000_79689391)"
199,0,32.94,false,79.14,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976491999000_144541302)"
200,0,71.26,false,79.14,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976453688000_1423242011)"
201,0,32.97,false,79.15,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976491985000_3627889639)"
202,0,78.06,false,79.21,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976446958000_3683888620)"
203,0,71.28,false,79.22,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976453744000_4081558152)"
204,0,77.85,false,79.25,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976447209000_3333876491)"
205,0,74.72,false,79.72,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976450801000_1022364807)"
